id,player_id,player_name,first_season_id,first_season_name,last_season_id,last_season_name,seasons_count,teams_count,team_ids,team_names,games_played,games_started,minutes_total,minutes_per_game,points_total,points_per_game,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pct,two_made,two_attempted,two_pct,ft_made,ft_attempted,ft_pct,offensive_rebounds_total,defensive_rebounds_total,rebounds_total,rebounds_per_game,assists_total,assists_per_game,steals_total,steals_per_game,blocks_total,blocks_per_game,turnovers_total,turnovers_per_game,fouls_committed_total,fouls_received_total,dunks_total,plus_minus_total,plus_minus_per_game,efficiency_total,efficiency_per_game
1,205,Abner Davi de Novais Moreira,5,2012-13,18,2025-26,6,5,8|4|35|15|32,||||,129,0,1089.20,8.44,283,2.19,119,242,0.492,0,1,0.000,119,241,0.494,45,70,0.643,193,100,293,2.27,30,0.23,33,0.26,10,0.08,70,0.54,175,59,24,-206,-1.60,441,3.42
2,207,Adrian Jermaine Delph,17,2024-25,17,2024-25,1,1,38,,36,0,995.30,27.65,374,10.39,146,329,0.444,46,136,0.338,100,193,0.518,36,57,0.632,91,36,127,3.53,88,2.44,32,0.89,6,0.17,54,1.50,77,63,8,32,0.89,369,10.25
3,208,Adriano Alves Júnior,6,2013-14,13,2020-21,7,3,11|7|28,||,83,0,508.30,6.12,138,1.66,49,100,0.490,0,0,,49,100,0.490,40,65,0.615,71,44,115,1.39,5,0.06,2,0.02,8,0.10,59,0.71,91,49,14,-207,-2.49,133,1.60
4,1,Adriano de Abreu Machado,1,2008-09,9,2016-17,7,7,8|16|2|12|21|11|19,||||||,163,1,2054.99,12.61,737,4.52,293,638,0.459,16,56,0.286,277,582,0.476,135,181,0.746,327,139,466,2.86,62,0.38,49,0.30,107,0.66,164,1.01,358,159,29,34,0.21,892,5.47
5,2,Adriano Jose Faggeane Galvão,1,2008-09,2,2009-10,2,1,15,,25,0,682.20,27.29,254,10.16,79,204,0.387,32,106,0.302,47,98,0.480,64,85,0.753,52,9,61,2.44,57,2.28,19,0.76,1,0.04,29,1.16,56,2,0,0,0.00,217,8.68
6,209,Adyb Natan Milhomem Fernandes,5,2012-13,7,2014-15,3,3,19|25|11,||,72,0,587.60,8.16,138,1.92,56,148,0.378,5,26,0.192,51,122,0.418,21,32,0.656,42,42,84,1.17,17,0.24,18,0.25,4,0.06,28,0.39,93,35,11,-98,-1.36,139,1.93
7,210,Adyel Felipe Pereira Borges,11,2018-19,18,2025-26,8,4,7|12|13|15,|||,222,1,4355.85,19.62,2187,9.85,726,2109,0.344,262,1000,0.262,464,1109,0.418,473,643,0.736,543,153,696,3.14,634,2.86,286,1.29,33,0.15,395,1.78,442,743,25,218,0.98,1888,8.50
8,211,Afam James Muojeke,6,2013-14,6,2013-14,1,1,5,,13,0,167.10,12.85,84,6.46,30,76,0.395,9,28,0.321,21,48,0.438,15,19,0.789,17,8,25,1.92,5,0.38,4,0.31,1,0.08,13,1.00,11,26,1,-89,-6.85,56,4.31
9,212,Afonso Campos Pacheco,16,2023-24,18,2025-26,3,2,15|13,|,85,0,802.10,9.44,281,3.31,117,183,0.639,0,2,0.000,117,181,0.646,47,72,0.653,100,109,209,2.46,20,0.24,13,0.15,10,0.12,55,0.65,144,72,8,19,0.22,387,4.55
10,213,Agapy Samoel de Melo Santos,15,2022-23,18,2025-26,4,1,13,,138,0,2176.80,15.77,798,5.78,331,570,0.581,0,14,0.000,331,556,0.595,136,244,0.557,374,329,703,5.09,70,0.51,71,0.51,95,0.69,129,0.93,306,238,124,237,1.72,1261,9.14
