id,season_id,season_name,team_id,team_name,player_id,player_name,games_played,games_started,minutes_total,minutes_per_game,points_total,points_per_game,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pct,two_made,two_attempted,two_pct,ft_made,ft_attempted,ft_pct,offensive_rebounds_total,defensive_rebounds_total,rebounds_total,rebounds_per_game,assists_total,assists_per_game,steals_total,steals_per_game,blocks_total,blocks_per_game,turnovers_total,turnovers_per_game,fouls_committed_total,fouls_received_total,dunks_total,plus_minus_total,plus_minus_per_game,efficiency_total,efficiency_per_game
1,1,2008-09,1,,19,André Luiz Quirino Pereira,26,0,718.10,27.62,297,11.42,116,232,0.500,28,67,0.418,88,165,0.533,37,52,0.712,136,40,176,6.77,40,1.54,23,0.88,14,0.54,52,2.00,71,0,8,0,0.00,367,14.12
2,1,2008-09,1,,23,Arlindo Gomes Baltazar Neto,21,0,763.50,36.36,348,16.57,119,259,0.459,47,129,0.364,72,130,0.554,63,76,0.829,52,8,60,2.86,124,5.90,46,2.19,0,0.00,93,4.43,39,0,1,0,0.00,332,15.81
3,1,2008-09,1,,24,Arnaldo de Souza Moreira Filho,5,0,148.40,29.68,75,15.00,25,67,0.373,9,35,0.257,16,32,0.500,16,25,0.640,8,3,11,2.20,17,3.40,9,1.80,0,0.00,9,1.80,14,0,0,0,0.00,52,10.40
4,1,2008-09,1,,51,Diego Dos Santos Augusto,6,0,18.40,3.07,2,0.33,0,2,0.000,0,1,0.000,0,1,0.000,2,3,0.667,0,0,0,0.00,2,0.33,1,0.17,0,0.00,1,0.17,5,0,0,0,0.00,1,0.17
5,1,2008-09,1,,68,Felipe Gustavo Da Silva,22,0,172.30,7.83,32,1.45,11,30,0.367,2,15,0.133,9,15,0.600,8,9,0.889,17,4,21,0.95,24,1.09,8,0.36,0,0.00,24,1.09,22,0,0,0,0.00,41,1.86
6,1,2008-09,1,,77,Francisco Tardivo Delben,28,0,670.00,23.93,245,8.75,85,197,0.431,36,94,0.383,49,103,0.476,39,55,0.709,83,30,113,4.04,37,1.32,36,1.29,23,0.82,40,1.43,77,0,2,0,0.00,286,10.21
7,1,2008-09,1,,92,Henrique Miguel Nunes,23,0,319.40,13.89,93,4.04,31,93,0.333,21,68,0.309,10,25,0.400,10,13,0.769,24,9,33,1.43,19,0.83,12,0.52,2,0.09,22,0.96,27,0,0,0,0.00,72,3.13
8,1,2008-09,1,,111,Julio Cesar De Toledo,28,0,626.60,22.38,168,6.00,66,134,0.493,11,41,0.268,55,93,0.591,25,46,0.543,69,28,97,3.46,36,1.29,20,0.71,19,0.68,36,1.29,74,0,20,0,0.00,215,7.68
9,1,2008-09,1,,118,Leonardo Gregório Aparecido do Amaral,5,0,20.20,4.04,5,1.00,2,5,0.400,1,3,0.333,1,2,0.500,0,0,,2,0,2,0.40,0,0.00,0,0.00,0,0.00,3,0.60,4,0,0,0,0.00,1,0.20
10,1,2008-09,1,,119,Lucas Daniel Tischer,18,0,389.10,21.62,160,8.89,56,124,0.452,0,6,0.000,56,118,0.475,48,85,0.565,63,32,95,5.28,15,0.83,8,0.44,11,0.61,27,1.50,58,0,12,0,0.00,157,8.72
