id,full_name,display_name,slug,lnb_url,photo_url,birth_date,position,naturality,height_cm,weight_kg,profile_jersey_number,first_seen_season_id,last_seen_season_id,scrape_status,needs_manual_review,source_url
1,Adriano de Abreu Machado,Adriano,adriano-de-abreu-machado,https://lnb.com.br/atletas/adriano-de-abreu-machado/,https://lnb.com.br/wp-content/uploads/2016/11/Adriano.png,1983-01-28,Pivô,Rio de Janeiro (RJ),104,104,16,1,9,success,0,https://lnb.com.br/atletas/adriano-de-abreu-machado/
2,Adriano Jose Faggeane Galvão,Di,adriano-jose-faggeane-galvao,https://lnb.com.br/atletas/adriano-jose-faggeane-galv%c3%a3o/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1980-03-07,Armador,Porto Ferreira (SP),192,,15,1,2,success,0,https://lnb.com.br/atletas/adriano-jose-faggeane-galv%c3%a3o/
3,Alessandro Magno Rocha Dos Santos,Casé,alessandro-magno-rocha-dos-santos,https://lnb.com.br/atletas/alessandro-magno-rocha-dos-santos/,https://lnb.com.br/wp-content/uploads/2014/03/10-Casé-Rosto.png,1977-05-07,Ala/Pivô,Vitória (ES),203,,10,1,5,success,0,https://lnb.com.br/atletas/alessandro-magno-rocha-dos-santos/
4,Alex Ribeiro Garcia,Alex,alex-ribeiro-garcia,https://lnb.com.br/atletas/alex-ribeiro-garcia/,https://lnb.com.br/wp-content/uploads/2016/10/10-ALEX-2.png,1980-03-04,Ala,Orlândia (SP),191,100,10,1,18,success,0,https://lnb.com.br/atletas/alex-ribeiro-garcia/
5,Alexandre Henrique Santos Pinheiro,Xande,alexandre-henrique-santos-pinheiro,https://lnb.com.br/atletas/alexandre-henrique-santos-pinheiro/,https://lnb.com.br/wp-content/uploads/2016/10/Alexandre-Pinheiro-400x473.png,1985-06-06,Armador,Limeira (SP),186,80,17,1,9,success,0,https://lnb.com.br/atletas/alexandre-henrique-santos-pinheiro/
6,Alexandro da Silva de Oliveira,Alex,alexandro-da-silva-de-oliveira,https://lnb.com.br/atletas/alexandro-da-silva-de-oliveira/,https://lnb.com.br/wp-content/uploads/2016/10/10-6-400x394.png,1983-08-17,Ala/Pivô,São Paulo (SP),194,102,10,1,13,success,0,https://lnb.com.br/atletas/alexandro-da-silva-de-oliveira/
7,Alfredo Luiz Perandini,Alfredo,alfredo-luiz-perandini,https://lnb.com.br/atletas/alfredo-luiz-perandini/,https://lnb.com.br/wp-content/uploads/2014/01/10-Alfredo-Rosto.png,1975-02-22,Ala,,194,,10,1,6,success,0,https://lnb.com.br/atletas/alfredo-luiz-perandini/
8,Alírio Alves de Souza,Alírio,alirio-alves-de-souza,https://lnb.com.br/atletas/al%c3%adrio-alves-de-souza/,https://lnb.com.br/wp-content/uploads/2017/01/54-Alírio.png,1977-11-22,Pivô,Belo Horizonte (MG),210,112,54,1,7,success,0,https://lnb.com.br/atletas/al%c3%adrio-alves-de-souza/
9,Amiel Morejon Vega,Amiel,amiel-morejon-vega,https://lnb.com.br/atletas/amiel-morejon-vega/,https://lnb.com.br/wp-content/uploads/2014/07/14-Amiel-Rosto.png,1976-06-27,Ala/Pivô,,0,,33,1,1,success,0,https://lnb.com.br/atletas/amiel-morejon-vega/
10,Anderson Eurípedes Ferreira,Mosso,anderson-euripedes-ferreira,https://lnb.com.br/atletas/anderson-eur%c3%adpedes-ferreira/,https://lnb.com.br/wp-content/uploads/2016/10/10-Mosso-2.png,1982-04-17,Ala/Pivô,Pedregulho (SP),205,105,10,1,10,success,0,https://lnb.com.br/atletas/anderson-eur%c3%adpedes-ferreira/
11,Anderson Jose De Oliveira,Anderson Tigrão,anderson-jose-de-oliveira,https://lnb.com.br/atletas/anderson-jose-de-oliveira/,https://lnb.com.br/wp-content/uploads/2013/11/Anderson-Tigrão.png,1984-02-18,Pivô,São José dos Campos (SP),202,,11,1,2,success,0,https://lnb.com.br/atletas/anderson-jose-de-oliveira/
12,André Davis Carvalho,Davis,andre-davis-carvalho,https://lnb.com.br/atletas/andr%c3%a9-davis-carvalho/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,----------,Armador,,0,,1004,1,1,success,0,https://lnb.com.br/atletas/andr%c3%a9-davis-carvalho/
