id,team_id,season_id,alias,alias_type,source,is_primary
1,1,1,ARA,abbreviation,standings,0
2,1,1,Araraquara,season_display_name,standings,1
3,1,1,MAIS SOBRE O CLUBE,link_text,standings,0
4,1,1,Araraquara 2,slug_name,standings,0
5,2,1,ASS,abbreviation,standings,0
6,2,1,Assis,season_display_name,standings,1
7,2,1,MAIS SOBRE O CLUBE,link_text,standings,0
8,3,1,BAU,abbreviation,standings,0
9,3,1,Bauru,season_display_name,standings,1
10,3,1,Bauru Basket,logo_alt,standings,0
11,3,1,MAIS SOBRE O CLUBE,link_text,standings,0
12,4,1,BRA,abbreviation,standings,0
13,4,1,Brasília,season_display_name,standings,1
14,4,1,MAIS SOBRE O CLUBE,link_text,standings,0
15,4,1,Brasilia,slug_name,standings,0
16,5,1,ESB,abbreviation,standings,0
17,5,1,Espírito Santo,season_display_name,standings,1
18,5,1,MAIS SOBRE O CLUBE,link_text,standings,0
19,6,1,FLA,abbreviation,standings,0
20,6,1,Flamengo,season_display_name,standings,1
21,6,1,MAIS SOBRE O CLUBE,link_text,standings,0
22,7,1,FRA,abbreviation,standings,0
23,7,1,Franca,season_display_name,standings,1
24,7,1,Sesi Franca,logo_alt,standings,0
25,7,1,MAIS SOBRE O CLUBE,link_text,standings,0
26,8,1,JOI,abbreviation,standings,0
27,8,1,Joinville,season_display_name,standings,1
28,8,1,MAIS SOBRE O CLUBE,link_text,standings,0
29,8,1,Joinville 2,slug_name,standings,0
30,9,1,LAJ,abbreviation,standings,0
31,9,1,Lajeado,season_display_name,standings,1
32,9,1,MAIS SOBRE O CLUBE,link_text,standings,0
33,10,1,LIM,abbreviation,standings,0
34,10,1,Limeira,season_display_name,standings,1
35,10,1,MAIS SOBRE O CLUBE,link_text,standings,0
36,10,1,Limeira 2,slug_name,standings,0
37,11,1,MIN,abbreviation,standings,0
38,11,1,Minas,season_display_name,standings,1
39,11,1,KTO Minas,logo_alt,standings,0
40,11,1,MAIS SOBRE O CLUBE,link_text,standings,0
41,12,1,CAP,abbreviation,standings,0
42,12,1,Paulistano,season_display_name,standings,1
43,12,1,MAIS SOBRE O CLUBE,link_text,standings,0
44,13,1,PIN,abbreviation,standings,0
45,13,1,Pinheiros,season_display_name,standings,1
46,13,1,MAIS SOBRE O CLUBE,link_text,standings,0
47,14,1,SAL,abbreviation,standings,0
48,14,1,Saldanha,season_display_name,standings,1
49,14,1,MAIS SOBRE O CLUBE,link_text,standings,0
50,15,1,SJO,abbreviation,standings,0
51,15,1,São José,season_display_name,standings,1
52,15,1,Mr. Moo São José Basketball,logo_alt,standings,0
53,15,1,MAIS SOBRE O CLUBE,link_text,standings,0
54,15,1,Sao Jose,slug_name,standings,0
55,1,2,ARA,abbreviation,standings,0
56,1,2,Araraquara,season_display_name,standings,1
57,1,2,MAIS SOBRE O CLUBE,link_text,standings,0
58,1,2,Araraquara 2,slug_name,standings,0
59,2,2,ASS,abbreviation,standings,0
60,2,2,Assis,season_display_name,standings,1
61,2,2,MAIS SOBRE O CLUBE,link_text,standings,0
62,3,2,BAU,abbreviation,standings,0
63,3,2,Bauru,season_display_name,standings,1
64,3,2,Bauru Basket,logo_alt,standings,0
65,3,2,MAIS SOBRE O CLUBE,link_text,standings,0
66,4,2,BRA,abbreviation,standings,0
67,4,2,Brasília,season_display_name,standings,1
68,4,2,MAIS SOBRE O CLUBE,link_text,standings,0
69,4,2,Brasilia,slug_name,standings,0
70,5,2,ESB,abbreviation,standings,0
71,5,2,Espírito Santo,season_display_name,standings,1
72,5,2,MAIS SOBRE O CLUBE,link_text,standings,0
73,6,2,FLA,abbreviation,standings,0
74,6,2,Flamengo,season_display_name,standings,1
75,6,2,MAIS SOBRE O CLUBE,link_text,standings,0
76,7,2,FRA,abbreviation,standings,0
77,7,2,Franca,season_display_name,standings,1
78,7,2,Sesi Franca,logo_alt,standings,0
79,7,2,MAIS SOBRE O CLUBE,link_text,standings,0
80,8,2,JOI,abbreviation,standings,0
81,8,2,Joinville,season_display_name,standings,1
82,8,2,MAIS SOBRE O CLUBE,link_text,standings,0
83,8,2,Joinville 2,slug_name,standings,0
84,16,2,LON,abbreviation,standings,0
85,16,2,Londrina,season_display_name,standings,1
86,16,2,MAIS SOBRE O CLUBE,link_text,standings,0
87,11,2,MIN,abbreviation,standings,0
88,11,2,Minas,season_display_name,standings,1
89,11,2,KTO Minas,logo_alt,standings,0
90,11,2,MAIS SOBRE O CLUBE,link_text,standings,0
91,12,2,CAP,abbreviation,standings,0
92,12,2,Paulistano,season_display_name,standings,1
93,12,2,MAIS SOBRE O CLUBE,link_text,standings,0
94,13,2,PIN,abbreviation,standings,0
95,13,2,Pinheiros,season_display_name,standings,1
96,13,2,MAIS SOBRE O CLUBE,link_text,standings,0
97,14,2,SAL,abbreviation,standings,0
98,14,2,Saldanha,season_display_name,standings,1
99,14,2,MAIS SOBRE O CLUBE,link_text,standings,0
100,15,2,SJO,abbreviation,standings,0
101,15,2,São José,season_display_name,standings,1
102,15,2,Mr. Moo São José Basketball,logo_alt,standings,0
103,15,2,MAIS SOBRE O CLUBE,link_text,standings,0
104,15,2,Sao Jose,slug_name,standings,0
105,1,3,ARA,abbreviation,standings,0
106,1,3,Araraquara,season_display_name,standings,1
107,1,3,MAIS SOBRE O CLUBE,link_text,standings,0
108,1,3,Araraquara 2,slug_name,standings,0
109,2,3,ASS,abbreviation,standings,0
110,2,3,Assis,season_display_name,standings,1
111,2,3,MAIS SOBRE O CLUBE,link_text,standings,0
112,3,3,BAU,abbreviation,standings,0
113,3,3,Bauru,season_display_name,standings,1
114,3,3,Bauru Basket,logo_alt,standings,0
115,3,3,MAIS SOBRE O CLUBE,link_text,standings,0
116,4,3,BRA,abbreviation,standings,0
117,4,3,Brasília,season_display_name,standings,1
118,4,3,MAIS SOBRE O CLUBE,link_text,standings,0
119,4,3,Brasilia,slug_name,standings,0
120,5,3,ESB,abbreviation,standings,0
121,5,3,Espírito Santo,season_display_name,standings,1
122,5,3,MAIS SOBRE O CLUBE,link_text,standings,0
123,6,3,FLA,abbreviation,standings,0
124,6,3,Flamengo,season_display_name,standings,1
125,6,3,MAIS SOBRE O CLUBE,link_text,standings,0
126,7,3,FRA,abbreviation,standings,0
127,7,3,Franca,season_display_name,standings,1
128,7,3,Sesi Franca,logo_alt,standings,0
129,7,3,MAIS SOBRE O CLUBE,link_text,standings,0
130,8,3,JOI,abbreviation,standings,0
131,8,3,Joinville,season_display_name,standings,1
132,8,3,MAIS SOBRE O CLUBE,link_text,standings,0
133,8,3,Joinville 2,slug_name,standings,0
134,10,3,LIM,abbreviation,standings,0
135,10,3,Limeira,season_display_name,standings,1
136,10,3,MAIS SOBRE O CLUBE,link_text,standings,0
137,10,3,Limeira 2,slug_name,standings,0
138,11,3,MIN,abbreviation,standings,0
139,11,3,Minas,season_display_name,standings,1
