id,game_id,season_id,competition,team_id,opponent_team_id,is_home,points,points_attempted,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pct,two_made,two_attempted,two_pct,ft_made,ft_attempted,ft_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,fouls_committed,fouls_received,turnovers,dunks,plus_minus,efficiency,collective_offensive_rebounds,collective_defensive_rebounds,collective_total_rebounds,source_url,parse_model
1,2,1,NBB,5,8,1,63,152,22,54,40.7,8,24,33,14,30,47,11,20,55,30,5,35,16,6,1,25,0,12,0,0,68,,,,https://lnb.com.br/noticias/espirito-santo-x-joinville-01042009/,classic
2,2,1,NBB,8,5,0,70,189,25,65,38.5,7,31,23,18,34,53,13,28,46,22,11,33,14,14,2,22,0,8,1,0,70,,,,https://lnb.com.br/noticias/espirito-santo-x-joinville-01042009/,classic
3,1,1,NBB,6,3,1,103,158,38,60,63.3,15,23,65,23,37,62,12,15,80,16,6,22,24,5,0,14,0,11,1,0,118,,,,https://lnb.com.br/noticias/flamengo-x-bauru-01032009/,classic
4,1,1,NBB,3,6,0,97,165,35,60,58.3,17,31,55,18,29,62,10,14,71,15,7,22,14,5,2,15,0,10,1,0,101,,,,https://lnb.com.br/noticias/flamengo-x-bauru-01032009/,classic
5,3,1,NBB,6,15,1,91,194,28,63,44.4,9,27,33,19,36,53,26,41,63,27,12,39,14,10,6,21,0,13,1,0,97,,,,https://lnb.com.br/noticias/flamengo-x-sao-jose-01042009/,classic
6,3,1,NBB,15,6,0,80,197,28,72,38.9,6,30,20,22,42,52,18,23,78,23,12,35,16,6,3,31,0,15,0,0,76,,,,https://lnb.com.br/noticias/flamengo-x-sao-jose-01042009/,classic
7,4,1,NBB,4,1,1,94,161,27,51,52.9,6,19,32,21,32,66,34,40,85,19,2,21,20,10,1,30,0,16,3,0,100,,,,https://lnb.com.br/noticias/brasilia-x-araraquara-01042009/,classic
8,4,1,NBB,1,4,0,85,152,24,49,49,6,16,38,18,33,55,31,38,82,18,5,23,7,8,2,33,0,20,1,0,73,,,,https://lnb.com.br/noticias/brasilia-x-araraquara-01042009/,classic
9,5,1,NBB,11,10,1,96,202,31,71,43.7,13,28,46,18,43,42,21,32,66,24,12,36,24,8,1,17,0,12,1,0,102,,,,https://lnb.com.br/noticias/minas-x-limeira-01042009/,classic
10,5,1,NBB,10,11,0,91,188,34,72,47.2,10,26,38,24,46,52,13,18,72,26,9,35,20,5,6,14,0,10,0,0,104,,,,https://lnb.com.br/noticias/minas-x-limeira-01042009/,classic
11,6,1,NBB,12,2,1,87,151,30,54,55.6,5,13,38,25,41,61,22,30,73,14,6,20,19,10,4,27,0,10,2,0,98,,,,https://lnb.com.br/noticias/paulistano-x-assis-01042009/,classic
12,6,1,NBB,2,12,0,83,154,25,53,47.2,13,24,54,12,29,41,20,24,83,14,8,22,15,4,3,24,0,18,1,0,77,,,,https://lnb.com.br/noticias/paulistano-x-assis-01042009/,classic
13,7,1,NBB,13,3,1,94,169,30,59,50.8,9,21,43,21,38,55,25,30,83,17,14,31,18,7,4,18,0,10,6,0,110,,,,https://lnb.com.br/noticias/pinheiros-x-bauru-01042009/,classic
14,7,1,NBB,3,13,0,88,187,32,72,44.4,8,22,36,24,50,48,16,21,76,16,17,33,13,7,1,23,0,8,2,0,89,,,,https://lnb.com.br/noticias/pinheiros-x-bauru-01042009/,classic
15,8,1,NBB,14,9,1,78,154,25,49,51,11,27,41,14,22,64,17,29,59,18,5,23,14,11,2,20,0,12,2,0,80,,,,https://lnb.com.br/noticias/saldanha-x-lajeado-01042009/,classic
16,8,1,NBB,9,14,0,68,145,28,56,50,5,20,25,23,36,64,7,13,54,16,7,23,12,6,1,27,0,17,0,0,59,,,,https://lnb.com.br/noticias/saldanha-x-lajeado-01042009/,classic
17,9,1,NBB,4,6,1,92,189,28,63,44.4,11,32,34,17,31,55,25,31,81,22,2,24,13,10,2,39,0,17,2,0,83,,,,https://lnb.com.br/noticias/brasilia-x-flamengo-01052009/,classic
18,9,1,NBB,6,4,0,100,200,26,58,44.8,7,27,26,19,31,61,41,57,72,26,11,37,16,12,3,30,0,16,2,0,104,,,,https://lnb.com.br/noticias/brasilia-x-flamengo-01052009/,classic
19,10,1,NBB,3,9,1,73,154,28,60,46.7,8,23,35,20,37,54,9,11,82,17,10,27,12,5,0,11,0,10,0,0,73,,,,https://lnb.com.br/noticias/bauru-x-lajeado-01052009/,classic
20,10,1,NBB,9,3,0,63,132,26,52,50,9,23,39,17,29,59,2,5,40,18,3,21,12,4,0,12,0,11,0,0,60,,,,https://lnb.com.br/noticias/bauru-x-lajeado-01052009/,classic
21,12,1,NBB,13,1,1,101,183,36,68,52.9,7,20,35,29,48,60,22,27,81,32,11,43,18,16,3,16,0,13,7,0,131,,,,https://lnb.com.br/noticias/pinheiros-x-araraquara-01052009/,classic
22,12,1,NBB,1,13,0,69,162,26,61,42.6,9,27,33,17,34,50,8,13,62,22,5,27,16,9,1,20,0,21,8,0,61,,,,https://lnb.com.br/noticias/pinheiros-x-araraquara-01052009/,classic
23,11,1,NBB,2,8,1,76,145,26,48,54.2,7,19,37,19,29,66,17,30,57,29,2,31,14,7,4,17,0,15,3,0,82,,,,https://lnb.com.br/noticias/assis-x-joinville-01052009/,classic
24,11,1,NBB,8,2,0,87,144,30,52,57.7,15,23,65,15,29,52,12,17,71,23,2,25,15,9,2,21,0,14,1,0,97,,,,https://lnb.com.br/noticias/assis-x-joinville-01052009/,classic
25,13,1,NBB,10,5,1,85,190,28,64,43.8,9,33,27,19,31,61,20,29,69,19,9,28,18,3,1,20,0,14,5,0,76,,,,https://lnb.com.br/noticias/limeira-x-espirito-santo-01052009/,classic
26,13,1,NBB,5,10,0,88,171,34,66,51.5,9,23,39,25,43,58,11,16,69,29,6,35,21,7,2,27,0,13,1,0,103,,,,https://lnb.com.br/noticias/limeira-x-espirito-santo-01052009/,classic
